Produit;Categories_OFF;Prediction_Categorie
orange juice;Boissons;Boissons
tonik;Fruits & Légumes;Fruits & Légumes
confiture de fraise;Fruits & Légumes;Fruits & Légumes
sourdough white ciabattin bread;Fruits & Légumes;Fruits & Légumes
gerostete mandel ohne zucker;Boissons;Boissons
white sourdough bread;Fruits & Légumes;Fruits & Légumes
sourdough grains & seeds;Fruits & Légumes;Fruits & Légumes
almonds;Fruits & Légumes;Fruits & Légumes
cashewkerne naturbelassen;Fruits & Légumes;Fruits & Légumes
nescafe classic;Boissons;Boissons
baked beans;Fruits & Légumes;Fruits & Légumes
ohne zucker hafer;Boissons;Boissons
oat drink barista edition;Boissons;Boissons
margarine la prairie 225g;Fruits & Légumes;Fruits & Légumes
tartine croustillante authentique;Fruits & Légumes;Fruits & Légumes
familia 200g;Fruits & Légumes;Fruits & Légumes
lightly sea salted;Fruits & Légumes;Fruits & Légumes
tonik;Fruits & Légumes;Fruits & Légumes
confiture de fraise;Fruits & Légumes;Fruits & Légumes
sourdough white ciabattin bread;Fruits & Légumes;Fruits & Légumes
gerostete mandel ohne zucker;Boissons;Boissons
white sourdough bread;Fruits & Légumes;Fruits & Légumes
sourdough grains & seeds;Fruits & Légumes;Fruits & Légumes
almonds;Fruits & Légumes;Fruits & Légumes
cashewkerne naturbelassen;Fruits & Légumes;Fruits & Légumes
nescafe classic;Boissons;Boissons
baked beans;Fruits & Légumes;Fruits & Légumes
ohne zucker hafer;Boissons;Boissons
oat drink barista edition;Boissons;Boissons
margarine la prairie 225g;Fruits & Légumes;Fruits & Légumes
tartine croustillante authentique;Fruits & Légumes;Fruits & Légumes
familia 200g;Fruits & Légumes;Fruits & Légumes
lightly sea salted;Fruits & Légumes;Fruits & Légumes
weetabix;Fruits & Légumes;Fruits & Légumes
prince gout chocolat;Épicerie sucrée;Épicerie sucrée
excellence noir prodigieux 90% cacao;Épicerie sucrée;Épicerie sucrée
excellence 70% cocoa intense dark;Épicerie sucrée;Épicerie sucrée
tonik;Fruits & Légumes;Fruits & Légumes
sesame;Épicerie sucrée;Épicerie sucrée
zero sin azucares fibra;Épicerie sucrée;Épicerie sucrée
excellence 85% cacao rich dark;Épicerie sucrée;Épicerie sucrée
dark chocolate 85% cocoa;Épicerie sucrée;Épicerie sucrée
henrys;Épicerie sucrée;Épicerie sucrée
organic 70% dark chocolate bar;Épicerie sucrée;Épicerie sucrée
king cookies;Épicerie sucrée;Épicerie sucrée
sable coco henry s 42g;Épicerie sucrée;Épicerie sucrée
tartine croustillante authentique;Fruits & Légumes;Fruits & Légumes
excellence noir intense 70% cacao;Ferment;Épicerie sucrée
lightly sea salted;Fruits & Légumes;Fruits & Légumes
dark chocolate;Épicerie sucrée;Épicerie sucrée
excellence noir puissant 85% cacao;Épicerie sucrée;Épicerie sucrée
fourres chocolat noir;Épicerie sucrée;Épicerie sucrée
extra dark chocolate 74% cacao;Épicerie sucrée;Épicerie sucrée
prince gout chocolat;Épicerie sucrée;Épicerie sucrée
excellence noir prodigieux 90% cacao;Épicerie sucrée;Épicerie sucrée
excellence 70% cocoa intense dark;Épicerie sucrée;Épicerie sucrée
tonik;Fruits & Légumes;Fruits & Légumes
sesame;Épicerie sucrée;Épicerie sucrée
zero sin azucares fibra;Épicerie sucrée;Épicerie sucrée
excellence 85% cacao rich dark;Épicerie sucrée;Épicerie sucrée
dark chocolate 85% cocoa;Épicerie sucrée;Épicerie sucrée
henrys;Épicerie sucrée;Épicerie sucrée
organic 70% dark chocolate bar;Épicerie sucrée;Épicerie sucrée
king cookies;Épicerie sucrée;Épicerie sucrée
sable coco henry s 42g;Épicerie sucrée;Épicerie sucrée
excellence noir intense 70% cacao;Ferment;Épicerie sucrée
dark chocolate;Épicerie sucrée;Épicerie sucrée
excellence noir puissant 85% cacao;Épicerie sucrée;Épicerie sucrée
fourres chocolat noir;Épicerie sucrée;Épicerie sucrée
extra dark chocolate 74% cacao;Épicerie sucrée;Épicerie sucrée
henrys;Épicerie sucrée;Épicerie sucrée
momo black;Épicerie sucrée;Épicerie sucrée
sidi ali;Boissons;Boissons
sidi ali;Boissons;Boissons
eau minerale naturelle;Boissons;Boissons
eau de source;Boissons;Boissons
ain saiss;Boissons;Boissons
eau mineral naturelle;Boissons;Boissons
6111035000027;Boissons;Fruits & Légumes
original taste;Boissons;Boissons
oulmes natural carbonated water;Boissons;Fruits & Légumes
orange juice;Boissons;Boissons
ain saiss eau minerale naturelle;Boissons;Boissons
ain atlas;Boissons;Boissons
ain atlas;Boissons;Boissons
gerostete mandel ohne zucker;Boissons;Boissons
cristaline eau de source 0.5l;Boissons;Boissons
bte 33cl slim coca cola;Boissons;Boissons
ciel;Boissons;Fruits & Légumes
perly;Produits laitiers;Produits laitiers
lait;Produits laitiers;Produits laitiers
fromage blanc nature;Produits laitiers;Produits laitiers
lait entier uht;Produits laitiers;Produits laitiers
jben;Produits laitiers;Produits laitiers
marmite yeast extract;Produits laitiers;Produits laitiers
lait frais;Produits laitiers;Produits laitiers
yaourt nature;Produits laitiers;Produits laitiers
cheddar;Produits laitiers;Produits laitiers
assil;Produits laitiers;Produits laitiers
salim;Produits laitiers;Produits laitiers
cremy;Produits laitiers;Produits laitiers
cream cheese;Produits laitiers;Produits laitiers
spreadable slightly salted;Produits laitiers;Produits laitiers
jamila;Fruits & Légumes;Fruits & Légumes
lait u.h.t entier;Produits laitiers;Produits laitiers
familia 200g;Fruits & Légumes;Fruits & Légumes
tonik;Fruits & Légumes;Fruits & Légumes
sourdough white ciabattin bread;Fruits & Légumes;Fruits & Légumes
white sourdough bread;Fruits & Légumes;Fruits & Légumes
sourdough grains & seeds;Fruits & Légumes;Fruits & Légumes
ohne zucker hafer;Boissons;Boissons
oat drink barista edition;Boissons;Boissons
tartine croustillante authentique;Fruits & Légumes;Fruits & Légumes
lightly sea salted;Fruits & Légumes;Fruits & Légumes
weetabix;Fruits & Légumes;Fruits & Légumes
organic - lightly salted - wholegrain low fat - rice cakes imp;Fruits & Légumes;Fruits & Légumes
pain de mie grandes tranches seigle & graines 500g;Fruits & Légumes;Fruits & Légumes
sourdough bread - superb sprouted grains n7;Fruits & Légumes;Fruits & Légumes
fibres;Fruits & Légumes;Fruits & Légumes
krisprolls complets sans sucres ajoutes;Fruits & Légumes;Fruits & Légumes
14 maxi tranches complet sans sucres ajoutes;Fruits & Légumes;Fruits & Légumes
cruesly melange de noix;Fruits & Légumes;Fruits & Légumes
tartines craquantes au sarrasin imp;Fruits & Légumes;Fruits & Légumes
dark rye crispbread;Fruits & Légumes;Fruits & Légumes
family pack;Fruits & Légumes;Fruits & Légumes
zarte haferflocken;Fruits & Légumes;Fruits & Légumes
herta le bon paris jambon a l'etouffee sans nitrite x4-140g;Viandes & Charcuterie;Viandes & Charcuterie
pork sausages;Viandes & Charcuterie;Viandes & Charcuterie
herta knacki veggie saucisses vegetales x6 -210g;Fruits & Légumes;Fruits & Légumes
blanc de poulet;Viandes & Charcuterie;Viandes & Charcuterie
no artificial additives 6 pork sausages;Viandes & Charcuterie;Viandes & Charcuterie
