category,big_category
Petit-déjeuners,Autres
Produits à tartiner,Autres
Produits à tartiner sucrés,Épicerie sucrée
Pâtes à tartiner,Épicerie sucrée
Pâtes à tartiner aux noisettes,Épicerie sucrée
Pâtes à tartiner au chocolat,Épicerie sucrée
Pâtes à tartiner aux noisettes et au cacao,Épicerie sucrée
Viandes et dérivés,Viandes & poissons
Viandes,Viandes & poissons
Volailles,Viandes & poissons
Dinde et dérivés,Viandes & poissons
Dindes,Viandes & poissons
Escalopes de dinde,Viandes & poissons
Snacks,Autres
Snacks sucrés,Autres
Biscuits et gâteaux,Épicerie sucrée
Gâteaux,Épicerie sucrée
Madeleines,Épicerie sucrée
Viennoiseries,Épicerie sucrée
Croissants,Autres
Donuts,Épicerie sucrée
Charcuteries,Viandes & poissons
Terrines,Épicerie salée
Terrines de campagne,Épicerie salée
Croissants au beurre,Autres
Pâtisseries,Épicerie sucrée
Éclairs,Autres
Éclairs au chocolat,Autres
Beignets fourrés au chocolat,Autres
Aliments et boissons à base de végétaux,Boissons non alcoolisées (hors eaux)
Aliments d'origine végétale,Autres
Condiments,Autres
Aliments à base de fruits et de légumes,Fruits & légumes
Plantes condimentaires,Autres
Pâtes à tartiner végétales,Épicerie sucrée
Produits à tartiner salés,Autres
Légumes et dérivés,Fruits & légumes
Oignons et dérivés,Autres
Confits d'oignons,Autres
Céréales et pommes de terre,Autres
Pains,Autres
Produits sans gluten,Autres
Pains sans gluten,Autres
Pains de mie,Autres
Pains de mie sans gluten,Autres
Céréales et dérivés,Autres
Céréales pour petit-déjeuner,Autres
Flocons,Autres
Flocons de céréales,Autres
Flocons laminés,Autres
Beignets sucrés,Autres
Baguettes,Autres
Muffins,Autres
Gâteaux au chocolat,Épicerie sucrée
Muffins au chocolat,Autres
Pains de campagne,Autres
Pain à l'épeautre,Eaux
Confiseries,Autres
Bonbons,Autres
Epices,Autres
Mélanges d'épices,Autres
Boissons,Boissons non alcoolisées (hors eaux)
Boissons gazeuses,Boissons non alcoolisées (hors eaux)
Sodas,Boissons non alcoolisées (hors eaux)
Boissons avec sucre ajouté,Boissons non alcoolisées (hors eaux)
Fruits à coques et dérivés,Fruits & légumes
Crèmes de marrons,Autres
Produits laitiers,Produits laitiers
Produits fermentés,Autres
Produits laitiers fermentés,Produits laitiers
Fromages,Produits laitiers
Fromages de France,Produits laitiers
Comté,Autres
,Autres
Produits de la mer,Autres
Mollusques,Autres
Calamars,Autres
Calmar,Autres
Anneaux d'encornet,Eaux
Fromages à pâte molle à croûte fleurie,Produits laitiers
Desserts,Autres
Desserts lactés,Autres
Desserts lactés fermentés,Autres
Yaourts,Produits laitiers
Yaourts au lait de brebis,Produits laitiers
Yaourts au lait de brebis nature,Produits laitiers
